Code,"ISINコード
(ISIN code)",会社名（和名）,(Issue name /company name),区分
1301,JP3257200000,株式会社極洋,"KYOKUYO CO.,LTD.",②
1332,JP3718800000,株式会社ニッスイ,Nissui Corporation,③
1333,JP3876600002,マルハニチロ株式会社,Maruha Nichiro Corporation,②
1375,JP3947010009,株式会社雪国まいたけ,"YUKIGUNI MAITAKE CO.,LTD.",②
1376,JP3216200000,カネコ種苗株式会社,"KANEKO SEEDS CO.,LTD.",②
1377,JP3315000004,株式会社サカタのタネ,SAKATA SEED CORPORATION,②
1379,JP3843250006,ホクト株式会社,HOKUTO CORPORATION,②
1380,JP3107400008,株式会社秋川牧園,"AKIKAWA FOODS & FARMS CO.,LTD.",①
1381,JP3108030002,株式会社アクシーズ,"AXYZ CO.,Ltd.",②
1382,JP3837630007,株式会社ホーブ,"HOB Co.,Ltd.",②
1383,JP3835730007,ベルグアース株式会社,"Berg Earth co.,ltd.",②
1384,JP3845670003,株式会社ホクリヨウ,"Hokuryo Co.,Ltd.",②
1401,JP3167660004,株式会社エムビーエス,"mbs,inc.",①
1407,JP3154750008,株式会社ウエストホールディングス,West Holdings Corporation,②
1414,JP3360250009,ショーボンドホールディングス株式会社,"SHO-BOND Holdings Co.,Ltd.",①
1417,JP3910620008,株式会社ミライト・ワン,MIRAIT ONE Corporation,③
1418,JP3152860007,インターライフホールディングス株式会社,"INTERLIFE HOLDINGS CO.,LTD.",①
1419,JP3470900006,タマホーム株式会社,"Tama Home Co.,Ltd.",②
1420,JP3337550002,サンヨーホームズ株式会社,Sanyo Homes Corporation,①
1429,JP3686140009,株式会社日本アクア,"Nippon Aqua Co.,Ltd.",①
1430,JP3802210009,ファーストコーポレーション株式会社,First-corporation Inc.,①
1431,JP3162680007,株式会社Ｌｉｂ　Ｗｏｒｋ,"Lib Work Co.,Ltd.",②
1432,JP3397900006,株式会社動力,"DORYOKU Co.,Ltd.",①
1433,JP3835550009,ベステラ株式会社,"BESTERRA CO.,LTD",①
