日付,銘柄名,Code,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20240930,ニッスイ,1332,水産・農林業,0.03%,TOPIX Mid400
20240930,マルハニチロ,1333,水産・農林業,0.02%,TOPIX Mid400
20240930,ショーボンドホールディングス,1414,建設業,0.03%,TOPIX Mid400
20240930,ミライト・ワン,1417,建設業,0.02%,TOPIX Mid400
20240930,ＩＮＰＥＸ,1605,鉱業,0.22%,TOPIX Mid400
20240930,コムシスホールディングス,1721,建設業,0.04%,TOPIX Mid400
20240930,大成建設,1801,建設業,0.15%,TOPIX Mid400
20240930,大林組,1802,建設業,0.17%,TOPIX Mid400
20240930,清水建設,1803,建設業,0.07%,TOPIX Mid400
20240930,長谷工コーポレーション,1808,建設業,0.05%,TOPIX Mid400
20240930,鹿島建設,1812,建設業,0.16%,TOPIX Mid400
20240930,西松建設,1820,建設業,0.03%,TOPIX Mid400
20240930,戸田建設,1860,建設業,0.03%,TOPIX Mid400
20240930,大東建託,1878,不動産業,0.17%,TOPIX Mid400
20240930,五洋建設,1893,建設業,0.02%,TOPIX Mid400
20240930,住友林業,1911,建設業,0.16%,TOPIX Mid400
20240930,大和ハウス工業,1925,建設業,0.33%,TOPIX Large70
20240930,積水ハウス,1928,建設業,0.32%,TOPIX Large70
20240930,きんでん,1944,建設業,0.06%,TOPIX Mid400
20240930,エクシオグループ,1951,建設業,0.04%,TOPIX Mid400
20240930,九電工,1959,建設業,0.04%,TOPIX Mid400
20240930,日揮ホールディングス,1963,建設業,0.03%,TOPIX Mid400
20240930,日清製粉グループ本社,2002,食料品,0.04%,TOPIX Mid400
20240930,日本Ｍ＆Ａセンターホールディングス,2127,サービス業,0.03%,TOPIX Mid400
20240930,エス・エム・エス,2175,サービス業,0.02%,TOPIX Mid400
20240930,パーソルホールディングス,2181,サービス業,0.07%,TOPIX Mid400
20240930,森永製菓,2201,食料品,0.03%,TOPIX Mid400
20240930,江崎グリコ,2206,食料品,0.03%,TOPIX Mid400
20240930,山崎製パン,2212,食料品,0.05%,TOPIX Mid400
20240930,寿スピリッツ,2222,食料品,0.02%,TOPIX Mid400
20240930,カルビー,2229,食料品,0.04%,TOPIX Mid400
